,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
185,Expertrons,2019,Mumbai,EdTech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,"Rohit Chanana, Sukanta Ganguly",3000000,Venture - Series Unknown,2020
186,Leena AI,2015,"New York, United States",AI startup,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Alan Patricof, Jim Moffatt",8000000,Venture - Series Unknown,2020
187,Bizlog,2016,Bangalore,Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,IAN Fund,1000000,Venture - Series Unknown,2020
188,Tamasha.live,2020,Mumbai,Gaming,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","9Unicorns, Titan Capital, FirstCheque",300000,Venture - Series Unknown,2020
189,Fedo,2017,Bangalore,AI startup,Artificial Intelligence based Credit Score for Health,AIM Smart City,1000000,Venture - Series Unknown,2020
190,FabHotels,2015,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"RB Investments Pte. Ltd, Goldman Sachs",1000000,Venture - Series Unknown,2020
191,Freshokartz,2016,"Jaipur, Rajastan",AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000,Pre-series A,2020
192,FlexiLoans,2016,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",>Vikram Sud,6000000,Debt,2020
193,Agrix,2020,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",Maple Capital Advisors,3000000,Venture - Series Unknown,2020
194,BharatAgri,2017,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,"021 Capital, India Quotient",3000000,Pre-series A,2020
195,FreshToHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,"Ascent Capital, Iron Pillar",121000000,Series C,2020
196,Credable,2017,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Oaks Asset Management,4500000,Venture - Series Unknown,2020
197,Railofy,2019,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Roots Ventures, Better Capital",5000000,Seed,2020
198,Finova Capital,2016,"Jaipur, Rajastan",FinTech,Finova Capital is a non-banking financial company.,"Sequoia Capital India, Faering Capital",55000000,Venture - Series Unknown,2020
199,Teachmint,2020,Bangalore,EdTech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Lightspeed India,3500000,Seed,2020
200,Peel-Works,2010,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"CESC Ventures, Brun Raschle",3000000,Venture - Series Unknown,2020
201,Janani,2020,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,9Unicorns,200000,Pre-seed,2020
202,Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel, Sunder Nookala",3300000,Seed,2020
203,Finelistings,2015,New Delhi,Luxury car startup,A Used Luxury Car Marketplace,Justdial,3000000,Venture - Series Unknown,2020
204,Wellversed,2018,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"KLUB Works, Shankar Narayanan",3000000,Pre-series A,2020
206,Jumbotail,2015,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000,Series B2,2020
207,Winzo,2018,New Delhi,Gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Makers Fund, Courtside Ventures",2000000,Venture - Series Unknown,2020
208,mCaffeine,2015,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",5000000,Series B,2020
209,Pocket FM,2018,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,"Times Group, Lightspeed",5000000,Series A,2020
210,Snackible,2015,Mumbai,Healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,"Mumbai Angels, Murali Nair",3000000,Bridge,2020
211,FreshToHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,"Ascent Capital, Iron Pillar",16000000,Venture - Series Unknown,2020
212,Jumbotail,2015,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Nexus Venture Partners, Capria Ventures",11000000,Series B2,2020
213,Nykaa,2012,Mumbai,E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,"Katrina Kaif, Steadview Capital",3000000,Venture - Series Unknown,2020
214,TagZ Foods,2019,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,"Exfinity Venture Partners, Shesh Kondi",3000000,Venture - Series Unknown,2020
215,Genius Teacher,2016,Mumbai,EdTech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Sandeep Tandon, Daniel Lapus",2000000,Venture - Series Unknown,2020
216,Krimanshi Feeds,2015,Jodhpur,Nutrition sector,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,"Rajasthan Venture Capital Fund, AIM Smart City",500000,Venture - Series Unknown,2020
217,Origo,2010,Gurugram,AgriTech,Provider of marketing and warehousing services for agricultural commodities.,Northern Arc Capital,4000000,Debt,2020
218,GetVantage,2019,Mumbai,FinTech,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Samyakth Capital, Venture Catalysts",5000000,Seed,2020
219,Betterplace,2015,Bangalore,Tech platform,Developer of a digital verification platform designed to manage the semi-formal workforce.,Jungle Ventures,10000000,Series B,2020
220,Biddano,2016,Mumbai,Healthcare,India's 1st tech-enabled healthcare logistics platform.,Windrose Capital,600000,Pre-series A,2020
221,InVideo,2017,Mumbai,Video,InVideo enables you to transform your content into great videos.,"Base Partners, Sequoia Capital India",15000000,Series A,2020
222,Arzooo,2016,Bangalore,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","3Lines, Jabbar Internet Group",7500000,Series A,2020
223,Hubilo,2020,"San Francisco, California, United States",Tech company,World’s smartest virtual event platform that brings Experience & Intelligence together,"Nishant Rao, Jonathan Boutelle",4500000,Seed,2020
224,BASIC Home Loan,2020,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",Picus Capital,5000000,Seed,2020
